orgao,categoria,campo,item,categoria_dj,incide_teto_segundo_cnj,incide_teto_segundo_dj
TJRJ,Direitos eventuais,Detalhe,"13º ABONO EC 41/03,PECUNIA LICENCA EXER.ANT.",Opaco,NA,Impossível saber
TJRJ,Direitos eventuais,Detalhe,"13º ABONO EC 41/03,PECUNIA LICENCA EXER.ANT.,Ind Pla ResTJOE12/2015Ant",Opaco,NA,Impossível saber
TJRJ,Direitos eventuais,Detalhe,"13º ABONO EC 41/03,PECUNIA LICENÇA VIGENTE",Opaco,NA,Impossível saber
TJRJ,Direitos eventuais,Detalhe,13º/SUBSTITUIÇÃO,Opaco,NA,Impossível saber
TJRJ,Direitos eventuais,Detalhe,"13º/SUBSTITUIÇÃO,Ind Pla ResTJOE12/2015Ant",Opaco,NA,Impossível saber
TJRJ,Direitos eventuais,Detalhe,"13º/SUBSTITUIÇÃO,Inden Plan ResTJOE12/2015",Opaco,NA,Impossível saber
TJRJ,Direitos eventuais,Detalhe,"13º/SUBSTITUIÇÃO,Inden Plan ResTJOE12/2015,Ind Pla ResTJOE12/2015Ant",Opaco,NA,Impossível saber
TJRJ,Direitos eventuais,Detalhe,"13º/SUBSTITUIÇÃO,PECUNIA LICENCA EXER.ANT.",Opaco,NA,Impossível saber
TJRJ,Direitos eventuais,Detalhe,"13º/SUBSTITUIÇÃO,PECUNIA LICENÇA VIGENTE",Opaco,NA,Impossível saber
TJRJ,Direitos eventuais,Detalhe,DEVOL.DE FERIAS,Benefício,N,NA
TJRJ,Direitos eventuais,Detalhe,"DEVOL.DE FERIAS,PECUNIA LICENCA EXER.ANT.",Opaco,NA,Impossível saber
TJRJ,Direitos eventuais,Detalhe,DIF. ENT. FERIAS,Opaco,NA,Impossível saber
TJRJ,Direitos eventuais,Detalhe,"DIF. ENT. FERIAS,13º/SUBSTITUIÇÃO",Opaco,NA,Impossível saber
TJRJ,Direitos eventuais,Detalhe,"DIF. ENT. FERIAS,PECUNIA LICENCA EXER.ANT.",Opaco,NA,Impossível saber
TJRJ,Direitos eventuais,Detalhe,"DIF. ENT. FERIAS,PECUNIA LICENÇA VIGENTE",Opaco,NA,Impossível saber
TJRJ,Direitos eventuais,Detalhe,GRAT. HORA/AULA,Remuneração,N,Sim
TJRJ,Direitos eventuais,Detalhe,GRAT. HORA/AULA,Remuneração,N,Sim
TJRJ,Direitos eventuais,Detalhe,"GRAT. HORA/AULA,13º ABONO EC 41/03",Opaco,NA,NA
TJRJ,Direitos eventuais,Detalhe,"GRAT. HORA/AULA,13º ABONO EC 41/03,PECUNIA LICENCA EXER.ANT.",Opaco,NA,NA
TJRJ,Direitos eventuais,Detalhe,"GRAT. HORA/AULA,13º/SUBSTITUIÇÃO",Opaco,NA,NA
TJRJ,Direitos eventuais,Detalhe,"GRAT. HORA/AULA,13º/SUBSTITUIÇÃO,PECUNIA LICENCA EXER.ANT.",Opaco,NA,NA
TJRJ,Direitos eventuais,Detalhe,"GRAT. HORA/AULA,Ind Pla ResTJOE12/2015Ant",Opaco,NA,NA
TJRJ,Direitos eventuais,Detalhe,"GRAT. HORA/AULA,INSTRUTOR PÓS GRADUAÇÃO",Remuneração,N,Sim
